timestamp,bid_price_1,bid_size_1,bid_price_2,bid_size_2,bid_price_3,bid_size_3,bid_price_4,bid_size_4,bid_price_5,bid_size_5,bid_price_6,bid_size_6,bid_price_7,bid_size_7,bid_price_8,bid_size_8,bid_price_9,bid_size_9,bid_price_10,bid_size_10,ask_price_1,ask_size_1,ask_price_2,ask_size_2,ask_price_3,ask_size_3,ask_price_4,ask_size_4,ask_price_5,ask_size_5,ask_price_6,ask_size_6,ask_price_7,ask_size_7,ask_price_8,ask_size_8,ask_price_9,ask_size_9,ask_price_10,ask_size_10
1717200000,99978.2,0.525,99976.95,1.1509,99975.71,1.5421,99973.67,0.8716,99967.02,1.321,99964.84,3.6031,99963.81,3.435,99961.22,0.5287,99957.09,0.7062,99946.83,0.1129,100021.8,1.5905,100023.28,0.6814,100024.89,0.1522,100029.59,2.1091,100035.44,1.9102,100042.67,2.0578,100044.7,2.0203,100056.1,0.183,100066.89,3.4693,100075.19,1.8376
1717200060,99993.96,0.8332,99991.59,1.006,99987.4,0.1933,99986.0,2.4371,99984.57,1.1073,99978.51,2.1979,99974.42,3.9786,99967.58,1.8203,99959.02,0.4057,99948.19,3.4126,100003.74,1.5495,100006.18,0.4693,100008.76,0.4956,100011.46,1.8195,100015.16,0.3894,100019.57,2.6638,100024.13,0.619,100035.28,0.2779,100046.68,0.382,100049.03,2.9578
1717200120,99992.04,1.1451,99990.38,0.2884,99988.14,1.3474,99983.39,3.4737,99977.7,3.8739,99971.9,1.4131,99965.41,0.8588,99957.19,0.9047,99954.83,3.383,99948.69,3.0528,100002.9,1.6241,100005.59,1.9504,100009.45,1.2465,100013.67,0.1148,100020.71,3.3195,100023.85,0.7299,100031.52,1.2428,100036.26,0.0344,100048.13,2.2696,100054.74,0.5761
1717200180,99975.26,0.4695,99973.42,0.7147,99971.13,1.4571,99966.24,2.2747,99964.69,0.2199,99962.43,2.4752,99955.03,1.0957,99946.75,1.9478,99940.22,1.0999,99928.65,0.4641,100017.64,0.6023,100020.0,0.9989,100023.33,0.1386,100026.31,2.4013,100027.36,1.2127,100030.05,0.5576,100033.48,1.3192,100034.56,2.9906,100037.76,1.527,100048.61,2.006
1717200240,99981.62,1.7304,99980.54,0.0865,99976.31,1.7311,99972.43,2.2979,99966.82,1.6766,99964.9,0.0932,99960.81,3.2073,99953.01,3.3298,99940.52,0.3616,99927.69,0.9808,99987.34,1.0717,99989.13,0.655,99991.32,0.6995,99993.16,2.0468,99994.9,2.0447,100003.15,1.404,100011.06,3.2776,100021.02,0.9527,100023.86,0.7971,100033.29,3.0433
1717200300,99976.42,1.0135,99973.91,1.5318,99971.34,1.8521,99967.52,2.5448,99962.46,3.4583,99956.44,0.6123,99954.79,1.7744,99950.46,1.1059,99948.76,2.0343,99943.41,1.8131,99989.14,1.6718,99990.29,1.7353,99994.29,1.2493,99997.82,1.8562,100002.43,3.1694,100010.59,1.8044,100019.29,2.6108,100023.82,1.9078,100026.71,0.2569,100029.16,3.5975
1717200360,99978.72,0.3865,99977.22,0.9036,99974.69,1.0694,99972.89,1.4977,99970.05,1.641,99966.35,2.3956,99957.85,2.5927,99956.12,0.3871,99946.64,1.1437,99935.51,2.6297,99988.76,1.7529,99990.43,1.1863,99991.92,0.7322,99997.76,2.7969,100001.31,2.3842,100009.81,1.2452,100014.39,3.1687,100024.34,2.6838,100035.7,2.9577,100046.29,2.1103
1717200420,99984.72,0.7571,99983.36,0.4677,99979.04,0.9982,99976.91,0.5589,99975.41,3.3793,99973.6,3.0858,99964.67,3.5359,99963.25,1.3537,99952.67,0.5329,99946.4,0.6574,99993.34,1.5536,99995.96,0.3728,99998.49,0.8512,100002.87,0.9577,100006.76,1.1469,100013.75,1.8012,100019.82,1.2448,100029.72,1.8814,100041.15,1.4777,100055.41,3.9379
1717200480,99985.53,1.0785,99982.6,1.6429,99978.79,0.3199,99976.54,2.5683,99969.86,2.2226,99968.04,3.3851,99958.95,1.1474,99949.56,1.0984,99937.24,0.5979,99930.12,3.7862,99994.35,0.9297,99996.05,0.102,99997.24,1.0289,99999.41,3.9782,100002.85,0.1225,100011.3,3.3583,100018.47,3.1676,100020.99,1.1546,100032.36,2.7873,100035.3,2.8251
1717200540,99980.74,0.5491,99978.07,1.1202,99974.52,1.0792,99972.97,1.1595,99970.01,0.2005,99965.65,3.1777,99960.31,0.4523,99949.35,2.391,99948.15,2.0663,99943.76,0.5829,100003.12,1.2489,100004.6,0.8623,100007.93,0.2169,100013.8,0.28,100018.22,2.0342,100027.13,2.2211,100031.84,1.8858,100039.83,3.9243,100044.0,0.0748,100056.04,1.3858
1717200600,100022.66,1.4836,100020.99,0.1365,100018.08,1.6363,100016.21,3.1188,100012.19,2.7846,100006.13,3.2479,100004.54,3.107,99998.5,1.1808,99996.95,0.8059,99995.37,3.7342,100035.38,1.9788,100037.47,0.544,100041.1,0.4227,100043.89,3.1256,100050.52,1.3344,100052.51,1.4784,100061.96,2.9758,100072.8,1.5527,100085.97,1.9899,100093.94,3.698
