rfq_id,timestamp,bond_name,tenor,coupon,mid_price_cbbt,spread_price_cbbt,best_bid_mts,best_ask_mts,ytm,dv01,tier,side,volume_meur,num_dealers,quoted_price,won,closed_away,cover_price
RFQ_0001,2025-11-03 00:02:20,ESP 5Y,5,3.25,99.3187,0.05506,99.2804,99.3706,3.4005,0.04507,2,1,4.08,8,99.3386,0,0,
RFQ_0002,2025-11-03 00:10:31,ESP 2Y,2,2.75,99.5158,0.03449,99.4986,99.5368,3.0031,0.01906,3,1,12.49,10,99.5277,0,1,99.5265
RFQ_0003,2025-11-03 00:13:55,ESP 5Y,5,3.25,99.3184,0.09758,99.2788,99.369,3.4005,0.04507,3,2,2.77,1,99.281,1,0,
RFQ_0004,2025-11-03 00:19:58,ESP 10Y,10,3.5,99.1931,0.10013,99.1289,99.2935,3.5975,0.08229,2,1,5.41,15,99.2365,0,1,99.2216
RFQ_0005,2025-11-03 00:26:35,ESP 5Y,5,3.25,99.3133,0.08503,99.275,99.3652,3.4017,0.04507,2,1,7.39,6,99.3342,0,1,99.3257
RFQ_0006,2025-11-03 00:31:27,ESP 10Y,10,3.5,99.1675,0.12087,99.0822,99.2468,3.6006,0.08229,1,1,8.34,2,99.1826,0,1,99.1645
RFQ_0007,2025-11-03 00:36:46,ESP 5Y,5,3.25,99.3166,0.06629,99.2591,99.3493,3.4009,0.04507,1,2,68.54,12,99.317,0,0,
RFQ_0008,2025-11-03 00:58:14,ESP 5Y,5,3.25,99.3219,0.05626,99.2681,99.3583,3.3998,0.04507,3,2,3.59,4,99.2902,0,1,99.2972
RFQ_0009,2025-11-03 01:04:35,ESP 10Y,10,3.5,99.1763,0.18814,99.0623,99.2269,3.5995,0.08229,2,2,5.49,3,99.138,0,1,99.1476
RFQ_0010,2025-11-03 01:07:19,ESP 10Y,10,3.5,99.1312,0.16527,99.0482,99.2128,3.605,0.08229,3,2,2.12,2,99.0935,0,0,
RFQ_0011,2025-11-03 01:13:31,ESP 15Y,15,3.75,99.4907,0.26786,99.3615,99.5861,3.7952,0.11228,3,1,2.51,15,99.586,0,1,99.5667
RFQ_0012,2025-11-03 01:14:30,ESP 15Y,15,3.75,99.4063,0.15788,99.3075,99.5321,3.8027,0.11228,3,2,1.45,2,99.3076,0,1,99.3184
RFQ_0013,2025-11-03 01:24:49,ESP 10Y,10,3.5,99.1465,0.11893,99.0802,99.2448,3.6032,0.08229,3,1,4.09,4,99.2131,0,1,99.2065
RFQ_0014,2025-11-03 01:49:33,ESP 5Y,5,3.25,99.3312,0.04835,99.2785,99.3687,3.3977,0.04507,3,1,2.63,1,99.3645,1,0,
RFQ_0015,2025-11-03 01:57:09,ESP 15Y,15,3.75,99.4911,0.20592,99.3638,99.5884,3.7951,0.11228,3,1,2.2,5,99.5734,0,1,99.5671
RFQ_0016,2025-11-03 02:02:02,ESP 30Y,30,4.0,101.6965,0.33713,101.5669,101.9209,3.903,0.17696,2,2,12.33,4,101.5815,0,1,101.6141
RFQ_0017,2025-11-03 02:18:12,ESP 2Y,2,2.75,99.523,0.03719,99.5008,99.539,2.9993,0.01906,1,1,108.76,15,99.5241,0,1,99.5189
RFQ_0018,2025-11-03 02:19:01,ESP 5Y,5,3.25,99.327,0.1018,99.2814,99.3716,3.3986,0.04507,3,1,0.99,5,99.3611,0,0,
RFQ_0019,2025-11-03 02:19:44,ESP 2Y,2,2.75,99.5123,0.03679,99.4961,99.5343,3.0049,0.01906,2,2,8.0,12,99.4978,0,0,
RFQ_0020,2025-11-03 02:22:20,ESP 5Y,5,3.25,99.3156,0.08559,99.263,99.3532,3.4012,0.04507,2,2,7.36,15,99.2945,0,1,99.297
RFQ_0021,2025-11-03 02:25:53,ESP 2Y,2,2.75,99.519,0.02519,99.4994,99.5376,3.0014,0.01906,3,1,4.25,2,99.5356,0,1,99.5333
RFQ_0022,2025-11-03 02:26:53,ESP 5Y,5,3.25,99.3251,0.07571,99.2812,99.3714,3.3991,0.04507,2,1,7.29,15,99.34,0,1,99.3311
RFQ_0023,2025-11-03 02:38:36,ESP 15Y,15,3.75,99.4566,0.20178,99.3362,99.5608,3.7982,0.11228,2,2,21.15,4,99.4038,0,0,
RFQ_0024,2025-11-03 02:40:00,ESP 30Y,30,4.0,101.7498,0.31185,101.5405,101.8945,3.9,0.17696,2,1,3.26,10,101.8605,0,0,
RFQ_0025,2025-11-03 02:53:40,ESP 2Y,2,2.75,99.514,0.04656,99.496,99.5342,3.004,0.01906,3,1,2.34,15,99.5229,0,0,
RFQ_0026,2025-11-03 03:11:18,ESP 30Y,30,4.0,101.7531,0.22408,101.6,101.954,3.8998,0.17696,1,1,32.9,15,101.7324,0,0,
RFQ_0027,2025-11-03 03:12:12,ESP 10Y,10,3.5,99.1808,0.20432,99.1032,99.2678,3.599,0.08229,3,1,4.2,2,99.2238,0,1,99.2115
RFQ_0028,2025-11-03 03:13:56,ESP 10Y,10,3.5,99.2238,0.09884,99.1435,99.3081,3.5938,0.08229,2,1,7.24,7,99.243,0,1,99.2344
RFQ_0029,2025-11-03 03:21:15,ESP 10Y,10,3.5,99.1545,0.13267,99.08,99.2446,3.6022,0.08229,1,1,14.33,8,99.1674,0,0,
